Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
20--1149,2020/01/23,12:57 PM,INNES RD @ 473 E OF PAGE RD/BUILDERS' WAREHOUS (0009781),9781,03 - At intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,1,0,0,1,02 - Minor,1,,1,,,381300.9367,5034781.447,45.44877602,-75.52199013,25
20--115,2020/01/04,12:49 PM,HAZELDEAN RD btwn EDGEWATER ST & YOUNG RD (__3ZA3DM),__3ZA3DM,01 - Non intersection,03 - P.D. only,03 - Rear end,02 - Rain,01 - Daylight,04 - Slush,10 - No control,,2,0,0,0,,0,,,,,352408.72,5017428.58,45.29519805,-75.89300186,26
20--1150,2020/01/23,2:08 PM,BENDING WAY @ GREENBANK RD (0018428),18428,03 - At intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,00 - Unknown,2,0,0,0,,0,,,,,364380.7957,5013738.976,45.26108585,-75.74081616,27
20--1151,2020/01/23,2:15 PM,HARDING RD @ WALKLEY RD (0007652),7652,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,373148.7275,5027608.525,45.38508229,-75.62719229,28
20--1152,2020/01/23,2:20 PM,HUNT CLUB RD btwn RIVERSIDE DR & LINDBERGH PRIV (__4B3PLN),__4B3PLN,01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,368195.1022,5022030.815,45.33536125,-75.69115853,29
20--1153,2020/01/23,2:26 PM,FERNBANK RD @ ROBERT GRANT AVE (0014442),14442,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,353047.2325,5014005.364,45.26435149,-75.88519424,30
20--1154,2020/01/23,2:30 PM,HIGHWAY 417 btwn HWY417 IC123 RAMP62 & HWY417 IC122 RAMP16 (__3ZA2R9),__3ZA2R9,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,364863.8083,5028230.887,45.3914416,-75.7329041,31
20--1155,2020/01/23,2:59 PM,"EGLISE, RUE DE L @ MONTREAL RD (0011441)",11441,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,371157.7127,5033633.582,45.43948471,-75.65180341,32
20--1156,2020/01/23,3:15 PM,MAPLE GROVE RD @ TERRY FOX DR (0003177),3177,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,351553.6,5017864.464,45.29917767,-75.90386271,33
20--1157,2020/01/23,3:59 PM,VANIER PKWY SB btwn DONALD ST & QUEEN MARY ST (__3ZA25W),__3ZA25W,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,370301.7746,5032249.264,45.42710991,-75.66292715,34
20--1158,2020/01/23,4:10 PM,PRINCE OF WALES DR @ WEST HUNT CLUB RD (0000567),567,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,367458.7107,5021891.513,45.33417398,-75.70057066,35
20--1159,2020/01/23,4:10 PM,LYON ST @ FLORENCE ST (0007250),7250,02 - Intersection related,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,367541.7011,5030428.576,45.41098097,-75.6984275,36
20--116,2020/01/04,12:52 PM,DONALD ST @ ST. LAURENT BLVD (0008630),8630,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,372093.7067,5032472.584,45.42894914,-75.63999939,37
20--1160,2020/01/23,4:22 PM,RIVERSIDE DR btwn HERON RD & HOG'S BACK RD (__3ZA379),__3ZA379,01 - Non intersection,02 - Non-fatal injury,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,02 - Minor,1,,1,,,368165.5921,5026242.668,45.37326119,-75.69099518,38
20--1161,2020/01/23,4:47 PM,HIGHWAY 7 btwn ASHTON STATION RD & OVERPASS RD (__3ZA2QE),__3ZA2QE,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,340199.1202,5003909.652,45.17426817,-76.04962718,39
20--1162,2020/01/23,5:10 PM,HIGHWAY 417 btwn HWY417 IC119A RAMP75 & HWY417 IC118 RAMP57 (__3ZA2R2),__3ZA2R2,01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,3,0,0,0,01 - Minimal,1,1,,,,368777.6088,5030606.439,45.41246943,-75.68261636,40
20--1163,2020/01/23,5:14 PM,REGIONAL ROAD 174 EB btwn OR174 IC109 RAMP55 & TRANSIT (__3ZA28V),__3ZA28V,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,376538.5902,5035136.691,45.45247732,-75.58281341,41
20--1164,2020/01/23,5:20 PM,BRONSON AVE @ SUNNYSIDE AVE/UNIVERSITY RD - CA (0007209),7209,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,367922.7072,5028091.557,45.38991891,-75.69385945,42
20--1165,2020/01/23,5:40 PM,MONTREAL RD @ VANIER PKWY (0004630),4630,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,370072.6914,5033065.601,45.43447639,-75.66574617,43
20--1166,2020/01/23,5:45 PM,CORKERY RD btwn MARCH RD & MANION RD (__3ZACCH),__3ZACCH,01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,338602.6727,5013392.663,45.25968055,-76.069294,44
20--1167,2020/01/23,5:45 PM,WELLINGTON ST    W btwn ROSEMOUNT AVE & STIRLING AVE (__3ZBN9N),__3ZBN9N,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,365380.1037,5029453.369,45.40239675,-75.72616078,45
20--1168,2020/01/23,5:49 PM,HERON RD EB btwn HERON RD EB ON RAMP/VINCENT MASSEY PARK & RIVERSIDE D (__3ZA37D),__3ZA37D,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,3,0,0,0,,0,,,,,368020.5615,5026620.073,45.37667008,-75.69279833,46
20--1169,2020/01/23,6:03 AM,PARKDALE AVE @ WELLINGTON ST (0002260),2260,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,365149.6948,5029270.563,45.4007718,-75.72912608,47
20--117,2020/01/04,2:12 PM,BASELINE RD @ GREENBANK RD (0002357),2357,02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,360597.67,5022584.502,45.34098861,-75.7880217,48
20--1170,2020/01/23,6:20 PM,EARL ARMSTRONG RD @ RIVER RD (0012470),12470,02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,367572.7173,5014684.397,45.2693151,-75.70002881,49
20--1171,2020/01/23,6:45 PM,CARLING AVE @ KIRKWOOD AVE S (0002209),2209,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,364351.6953,5027337.552,45.38344727,-75.73955168,50
20--1172,2020/01/23,6:47 AM,RIVERSIDE DR btwn HOG'S BACK RD & RIDGEWOOD AVE (__3ZA372),__3ZA372,01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,07 - Dark,02 - Wet,10 - No control,,2,0,0,0,02 - Minor,1,,1,,,368178.8983,5026123.276,45.37218573,-75.69084063,51
20--1173,2020/01/23,6:54 PM,HUNT CLUB RD @ UPLANDS DR (0010844),10844,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,370156.7299,5023121.491,45.34499489,-75.66598918,52
20--1174,2020/01/23,7:10 AM,CYRVILLE RD @ OGILVIE RD (0003554),3554,02 - Intersection related,03 - P.D. only,04 - Sideswipe,03 - Snow,03 - Dawn,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,372453.7088,5032005.551,45.42471226,-75.63546331,53
20--1175,2020/01/23,7:23 PM,MEADOWLANDS DR btwn CHESTERTON DR & TIVERTON DR (__3ZA4H3),__3ZA4H3,01 - Non intersection,02 - Non-fatal injury,06 - SMV unattended vehicle,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,01 - Minimal,1,1,,,,365189.5943,5024295.775,45.35600616,-75.7292249,54
20--1176,2020/01/23,8:03 PM,HAZELDEAN RD @ TERRY FOX DR (0003682),3682,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,352207.603,5017242.454,45.29353683,-75.8955837,55
20--1177,2020/01/23,8:24 AM,MONTREAL RD btwn BETHAMY LANE & OGILVIE RD (__3ZA2DX),__3ZA2DX,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,375522.4886,5034471.356,45.44659461,-75.5958984,56
20--1178,2020/01/23,8:53 PM,HERON RD @ BAYCREST DR (0007191),7191,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,371143.7205,5026979.553,45.3796158,-75.65287773,57
20--1179,2020/01/23,8:56 AM,DES EPINETTES AVE @ JEANNE D'ARC BLVD (0004221),4221,03 - At intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,1,0,0,1,02 - Minor,1,,1,,,382226.7483,5035958.572,45.45926486,-75.50997074,58
20--118,2020/01/04,3:10 AM,EARL MULLIGAN DR @ WOODROFFE AVE (0000591),591,02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,1,0,0,0,,0,,,,,365250.6888,5017506.463,45.29491138,-75.72927409,59
20--1180,2020/01/23,9:06 PM,WOODROFFE AVE btwn GEORGINA DR & HWY417 IC127 RAMP36 (__3ZA4L6),__3ZA4L6,01 - Non intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,07 - Dark,02 - Wet,10 - No control,,3,0,0,0,02 - Minor,1,,1,,,362017.9105,5025102.308,45.36352927,-75.76960953,60
20--1181,2020/01/24,1:00 PM,FALLOWFIELD RD @ RICHMOND RD (0000634),634,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,357721.6185,5013529.409,45.2597326,-75.82568404,61
20--1182,2020/01/24,1:05 PM,BARNSDALE RD @ PRINCE OF WALES DR (0001082),1082,03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,366646.7026,5011532.419,45.24103574,-75.712221,62
20--1183,2020/01/24,1:06 PM,ST. LAURENT BLVD btwn THURSTON DR & WALKLEY RD (__3ZA7QN),__3ZA7QN,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,373784.9931,5027538.587,45.38439064,-75.61907796,63
20--1184,2020/01/24,1:24 PM,PRINCE OF WALES DR btwn GREENBANK RD & BARNSDALE RD (__3ZA296),__3ZA296,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,366644.377,5011466.951,45.24044687,-75.71225876,64
20--1185,2020/01/24,1:30 PM,HIGHWAY 417 btwn HWY417 IC112 RAMP64 & HIGHWAY 417 (__3ZA2U1),__3ZA2U1,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,374987.3796,5030697.663,45.41269496,-75.60327613,65
20--1186,2020/01/24,1:33 PM,CARP RD @ STITTSVILLE MAIN ST (0005253),5253,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,349524.7783,5014330.2,45.26750727,-75.93004867,66
20--1187,2020/01/24,1:44 PM,ST. LAURENT BLVD btwn CONROY RD & THURSTON DR (__3ZA49E),__3ZA49E,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,373643.9743,5027475.152,45.38383376,-75.62088737,67
20--1188,2020/01/24,10:12 PM,INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD (0002203),2203,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,373099.7399,5030005.574,45.40665465,-75.62748592,68
20--1189,2020/01/24,10:17 AM,HWY417 IC118 RAMP35 btwn HWY417 IC118 RAMP45 & MANN AVE OVERPASS (__3ZAYAW),__3ZAYAW,01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,369434.5656,5031088.582,45.41674721,-75.67416067,69
20--119,2020/01/04,3:20 PM,BAYSHORE DR btwn WOODRIDGE CRES S & BAYSHORE CS (__3ZAA4OB),__3ZAA4OB,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,359187.6807,5023581.354,45.35006903,-75.80590221,70
20--1190,2020/01/24,10:19 AM,NICHOLAS ST SB btwn Continuation of WALLER ST & HWY417 IC118 RAMP35 (__6KCDVW),__6KCDVW,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,369115.4767,5031286.664,45.41855888,-75.67821141,71
20--1191,2020/01/24,10:52 AM,HIGHWAY 417 btwn HWY417 IC121A RAMP51 & HWY417 IC120A RAMP52 (__3ZA2R6),__3ZA2R6,01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,3,0,0,0,,0,,,,,367273.1605,5029736.772,45.40478035,-75.70194564,72
20--1192,2020/01/24,11:00 AM,RIVERSIDE DR @ HERON RD (0002236),2236,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,00 - Unknown,2,0,0,0,,0,,,,,368121.1025,5026647.216,45.37690523,-75.69151126,73
20--1193,2020/01/24,11:29 AM,MACLAREN ST btwn BANK ST & O'CONNOR ST (__3ZA9T0),__3ZA9T0,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,367870.2535,5030922.451,45.41539517,-75.69416721,74
20--1194,2020/01/24,11:35 AM,RIVERSIDE DR btwn KIMBERWICK CRES & MALHOTRA CRT (__3ZA1KW),__3ZA1KW,04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,368197.7996,5022830.634,45.34255761,-75.69102163,75
20--1195,2020/01/24,11:55 PM,BARNSDALE RD @ PRINCE OF WALES DR (0001082),1082,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,366646.698,5011532.417,45.24103572,-75.71222106,76
20--1196,2020/01/24,Unknown,GILMOUR ST btwn SALISBURY PL & DRIVEWAY (THE) (__3ZA4FA),__3ZA4FA,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,368651.4926,5031301.299,45.41873306,-75.68413744,77
20--1197,2020/01/24,Unknown,GLADSTONE AVE btwn KENT ST & BANK ST (__3ZA3PA),__3ZA3PA,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,367792.381,5030488.116,45.41149418,-75.69521759,78
20--1198,2020/01/24,12:01 PM,COOLBROOK CRES btwn OWLSHEAD RD & OWLSHEAD RD (__3ZACTO),__3ZACTO,04 - At/near private drive,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,348547.0148,5002986.622,45.16549406,-75.94350475,79
20--1199,2020/01/24,12:34 AM,BASELINE RD btwn COLLEGE SQUARE SC & WOODROFFE AVE (__3ZAZDQA),__3ZAZDQA,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,362593.2902,5023795.212,45.35172094,-75.7624182,80
20--120,2020/01/04,3:45 PM,BOOTH ST @ SOMERSET ST (0002216),2216,02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,366592.6723,5030254.578,45.40949983,-75.7105727,81
20--1200,2020/01/24,12:37 PM,METCALFE ST btwn WELLINGTON ST & SPARKS ST (__3ZA352),__3ZA352,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,367577.9087,5031797.231,45.42329245,-75.6977906,82
